n_kcs,turns,tau,gain,decay,readiness,noise,graph,prior,policy,fraction_mastered
12,120,0.8,0.185,0.008,0.8,0.1,chains,uniform,random_unmastered,0.005
12,120,0.8,0.185,0.008,0.8,0.1,chains,uniform,fixed_curriculum_no_skip,0.0
12,120,0.8,0.185,0.008,0.8,0.1,chains,uniform,prereq_lowest_first_previous,0.028333333333333332
12,120,0.8,0.185,0.008,0.8,0.1,chains,uniform,filtered_curriculum_index_order,0.27041666666666664
12,120,0.8,0.185,0.008,0.8,0.1,chains,uniform,filtered_curriculum_random_topo,0.27458333333333335
12,120,0.8,0.185,0.008,0.8,0.1,chains,uniform,mta,0.29625
12,120,0.8,0.185,0.008,0.6,0.0,chains,uniform,greedy_lowest_first,0.0
12,120,0.8,0.185,0.008,0.6,0.0,chains,uniform,random_unmastered,0.007083333333333333
12,120,0.8,0.185,0.008,0.6,0.0,chains,uniform,fixed_curriculum_no_skip,0.0
12,120,0.8,0.185,0.008,0.6,0.0,chains,uniform,prereq_lowest_first_previous,0.0925
12,120,0.8,0.185,0.008,0.6,0.0,chains,uniform,filtered_curriculum_index_order,0.3154166666666666
12,120,0.8,0.185,0.008,0.6,0.0,chains,uniform,filtered_curriculum_random_topo,0.31958333333333333
12,120,0.8,0.185,0.008,0.6,0.0,chains,uniform,mta,0.3066666666666667
12,120,0.8,0.185,0.008,0.6,0.05,chains,uniform,greedy_lowest_first,0.0
12,120,0.8,0.185,0.008,0.6,0.05,chains,uniform,random_unmastered,0.003333333333333333
12,120,0.8,0.185,0.008,0.6,0.05,chains,uniform,fixed_curriculum_no_skip,0.0
12,120,0.8,0.185,0.008,0.6,0.05,chains,uniform,prereq_lowest_first_previous,0.04666666666666667
12,120,0.8,0.185,0.008,0.6,0.05,chains,uniform,filtered_curriculum_index_order,0.29958333333333337
12,120,0.8,0.185,0.008,0.6,0.05,chains,uniform,filtered_curriculum_random_topo,0.29958333333333337
12,120,0.8,0.185,0.008,0.6,0.05,chains,uniform,mta,0.29708333333333337
12,120,0.8,0.185,0.008,0.6,0.1,chains,uniform,greedy_lowest_first,0.0
12,120,0.8,0.185,0.008,0.6,0.1,chains,uniform,random_unmastered,0.0024999999999999996
12,120,0.8,0.185,0.008,0.6,0.1,chains,uniform,fixed_curriculum_no_skip,0.0
12,120,0.8,0.185,0.008,0.6,0.1,chains,uniform,prereq_lowest_first_previous,0.0325
12,120,0.8,0.185,0.008,0.6,0.1,chains,uniform,filtered_curriculum_index_order,0.2654166666666667
12,120,0.8,0.185,0.008,0.6,0.1,chains,uniform,filtered_curriculum_random_topo,0.26958333333333334
12,120,0.8,0.185,0.008,0.6,0.1,chains,uniform,mta,0.29083333333333333
12,120,0.8,0.185,0.0,1.0,0.0,chains,partial,greedy_lowest_first,1.0
12,120,0.8,0.185,0.0,1.0,0.0,chains,partial,random_unmastered,1.0
12,120,0.8,0.185,0.0,1.0,0.0,chains,partial,fixed_curriculum_no_skip,0.99875
12,120,0.8,0.185,0.0,1.0,0.0,chains,partial,prereq_lowest_first_previous,1.0
12,120,0.8,0.185,0.0,1.0,0.0,chains,partial,filtered_curriculum_index_order,1.0
12,120,0.8,0.185,0.0,1.0,0.0,chains,partial,filtered_curriculum_random_topo,1.0
12,120,0.8,0.185,0.0,1.0,0.0,chains,partial,mta,1.0
12,120,0.8,0.185,0.0,1.0,0.05,chains,partial,greedy_lowest_first,0.98875
12,120,0.8,0.185,0.0,1.0,0.05,chains,partial,random_unmastered,0.9741666666666666
12,120,0.8,0.185,0.0,1.0,0.05,chains,partial,fixed_curriculum_no_skip,0.9179166666666666
12,120,0.8,0.185,0.0,1.0,0.05,chains,partial,prereq_lowest_first_previous,0.9841666666666667
12,120,0.8,0.185,0.0,1.0,0.05,chains,partial,filtered_curriculum_index_order,0.9674999999999998
12,120,0.8,0.185,0.0,1.0,0.05,chains,partial,filtered_curriculum_random_topo,0.96875
12,120,0.8,0.185,0.0,1.0,0.05,chains,partial,mta,0.96875
12,120,0.8,0.185,0.0,1.0,0.1,chains,partial,greedy_lowest_first,0.995
12,120,0.8,0.185,0.0,1.0,0.1,chains,partial,random_unmastered,0.9754166666666667
12,120,0.8,0.185,0.0,1.0,0.1,chains,partial,fixed_curriculum_no_skip,0.95125
12,120,0.8,0.185,0.0,1.0,0.1,chains,partial,prereq_lowest_first_previous,0.9920833333333334
12,120,0.8,0.185,0.0,1.0,0.1,chains,partial,filtered_curriculum_index_order,0.85375
12,120,0.8,0.185,0.0,1.0,0.1,chains,partial,filtered_curriculum_random_topo,0.8458333333333334
12,120,0.8,0.185,0.0,1.0,0.1,chains,partial,mta,0.85
12,120,0.8,0.185,0.0,0.8,0.0,chains,partial,greedy_lowest_first,1.0
12,120,0.8,0.185,0.0,0.8,0.0,chains,partial,random_unmastered,1.0
12,120,0.8,0.185,0.0,0.8,0.0,chains,partial,fixed_curriculum_no_skip,0.95375
12,120,0.8,0.185,0.0,0.8,0.0,chains,partial,prereq_lowest_first_previous,1.0
12,120,0.8,0.185,0.0,0.8,0.0,chains,partial,filtered_curriculum_index_order,1.0
12,120,0.8,0.185,0.0,0.8,0.0,chains,partial,filtered_curriculum_random_topo,1.0
12,120,0.8,0.185,0.0,0.8,0.0,chains,partial,mta,1.0
12,120,0.8,0.185,0.0,0.8,0.05,chains,partial,greedy_lowest_first,0.9854166666666666
12,120,0.8,0.185,0.0,0.8,0.05,chains,partial,random_unmastered,0.9766666666666667
